"Sector","sum(Opt_Weights)"
"Energy",0.384420615203663
"Gold",0.316613689761484
"Technology",0.141137152863552
"Financial",0.0990830810884763
"Big Blend",0.0405013228742453
"Real Estate",0.0152161171229853
"Corporate",0.00288885847432501
"Aerospace",0
"Auto",0
"Crypto",0
"Emerging Markets",0
"Finance",0
"Healtcare",0
"Healthcare",0
"Industrials",0
"Materials",0
"Multifaced Conglomerate",0
"Platinum",0
"Small Blend",0
"Small Cap",0
"Telecomunication",0
