"Geo.Zone","sum(Opt_Weights)"
"US",0.3414950565507
"Europe",0.275136867393595
"Other",0.146163878667645
"Asia",0.145443505179629
"World",0.0453562104959033
"Global",0.0264403084443577
"South America",0.02
