Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-02-12 00:00:00+01:00,13749.7802734375,13749.7802734375,13749.7802734375,13749.7802734375,0,0.0,0.0
2020-02-13 00:00:00+01:00,13745.4296875,13745.4296875,13745.4296875,13745.4296875,0,0.0,0.0
2020-02-14 00:00:00+01:00,13744.2099609375,13744.2099609375,13744.2099609375,13744.2099609375,0,0.0,0.0
2020-02-18 00:00:00+01:00,13681.1904296875,13681.1904296875,13681.1904296875,13681.1904296875,0,0.0,0.0
2020-02-19 00:00:00+01:00,13789.0,13789.0,13789.0,13789.0,0,0.0,0.0
2020-02-20 00:00:00+01:00,13664.0,13664.0,13664.0,13664.0,0,0.0,0.0
2020-02-21 00:00:00+01:00,13579.330078125,13579.330078125,13579.330078125,13579.330078125,0,0.0,0.0
2020-02-24 00:00:00+01:00,13035.240234375,13035.240234375,13035.240234375,13035.240234375,0,0.0,0.0
2020-02-25 00:00:00+01:00,12790.490234375,12790.490234375,12790.490234375,12790.490234375,0,0.0,0.0
2020-02-26 00:00:00+01:00,12774.8798828125,12774.8798828125,12774.8798828125,12774.8798828125,0,0.0,0.0
2020-02-27 00:00:00+01:00,12367.4599609375,12367.4599609375,12367.4599609375,12367.4599609375,0,0.0,0.0
2020-03-02 00:00:00+01:00,11857.8701171875,11857.8701171875,11857.8701171875,11857.8701171875,0,0.0,0.0
2020-03-04 00:00:00+01:00,12127.6904296875,12127.6904296875,12127.6904296875,12127.6904296875,0,0.0,0.0
2020-03-05 00:00:00+01:00,11944.7197265625,11944.7197265625,11944.7197265625,11944.7197265625,0,0.0,0.0
2020-03-09 00:00:00+01:00,10625.01953125,10625.01953125,10625.01953125,10625.01953125,0,0.0,0.0
2020-03-10 00:00:00+01:00,10475.490234375,10475.490234375,10475.490234375,10475.490234375,0,0.0,0.0
2020-03-11 00:00:00+01:00,10438.6796875,10438.6796875,10438.6796875,10438.6796875,0,0.0,0.0
2020-03-12 00:00:00+01:00,9161.1298828125,9161.1298828125,9161.1298828125,9161.1298828125,0,0.0,0.0
2020-03-13 00:00:00+01:00,9232.080078125,9232.080078125,9232.080078125,9232.080078125,0,0.0,0.0
2020-03-16 00:00:00+01:00,8742.25,8742.25,8742.25,8742.25,0,0.0,0.0
2020-03-17 00:00:00+01:00,8939.099609375,8939.099609375,8939.099609375,8939.099609375,0,0.0,0.0
2020-03-18 00:00:00+01:00,8441.7099609375,8441.7099609375,8441.7099609375,8441.7099609375,0,0.0,0.0
2020-03-19 00:00:00+01:00,8610.4296875,8610.4296875,8610.4296875,8610.4296875,0,0.0,0.0
2020-03-20 00:00:00+01:00,8928.9501953125,8928.9501953125,8928.9501953125,8928.9501953125,0,0.0,0.0
2020-03-23 00:00:00+01:00,8741.150390625,8741.150390625,8741.150390625,8741.150390625,0,0.0,0.0
