Date;Close
24/03/2025;68,6186
21/03/2025;68,1532
20/03/2025;68,5315
19/03/2025;68,3545
18/03/2025;68,2302
17/03/2025;68,1758
14/03/2025;67,5934
13/03/2025;67,5353
12/03/2025;67,3357
11/03/2025;67,6346
10/03/2025;68,4844
07/03/2025;67,8293
06/03/2025;68,3887
05/03/2025;68,2466
04/03/2025;68,3842
03/03/2025;69,2205
28/02/2025;69,2096
27/02/2025;68,9477
26/02/2025;68,8159
25/02/2025;68,8487
24/02/2025;68,2397
21/02/2025;68,0978
20/02/2025;67,4504
19/02/2025;67,5726
18/02/2025;67,4754
17/02/2025;68,1666
14/02/2025;68,1743
13/02/2025;67,7665
12/02/2025;66,7271
11/02/2025;67,6394
10/02/2025;68,1311
07/02/2025;68,2089
06/02/2025;68,5617
05/02/2025;68,5508
04/02/2025;66,9794
03/02/2025;67,4832
31/01/2025;67,4621
30/01/2025;67,0589
29/01/2025;67,3622
28/01/2025;67,9234
27/01/2025;67,4097
24/01/2025;67,0147
23/01/2025;66,7766
22/01/2025;66,7853
21/01/2025;66,7824
20/01/2025;66,6487
17/01/2025;66,5585
16/01/2025;66,2792
15/01/2025;65,0773
14/01/2025;64,8731
13/01/2025;64,6824
10/01/2025;65,1209
09/01/2025;65,7545
08/01/2025;65,6208
07/01/2025;65,2628
06/01/2025;66,1863
03/01/2025;66,507
02/01/2025;66,6521
01/01/2025;66,4665
31/12/2024;66,4811
30/12/2024;66,5361
27/12/2024;65,5483
26/12/2024;65,9316
24/12/2024;65,9477
23/12/2024;66,6343
20/12/2024;66,0497
19/12/2024;66,3051
18/12/2024;66,8332
17/12/2024;68,0203
16/12/2024;68,2771
13/12/2024;67,9169
12/12/2024;67,9262
11/12/2024;69,082
10/12/2024;68,9022
09/12/2024;69,1592
06/12/2024;69,4451
05/12/2024;69,4061
04/12/2024;69,1787
03/12/2024;68,4214
02/12/2024;68,6326
29/11/2024;68,5645
28/11/2024;68,0161
27/11/2024;67,8744
26/11/2024;67,8175
25/11/2024;67,3288
22/11/2024;66,6047
21/11/2024;66,6143
20/11/2024;66,2904
19/11/2024;66,6501
18/11/2024;66,0462
15/11/2024;65,9367
14/11/2024;66,7043
13/11/2024;66,1946
12/11/2024;66,9114
11/11/2024;67,5046
08/11/2024;67,5772
07/11/2024;67,5196
06/11/2024;66,8122
05/11/2024;67,233
04/11/2024;67,1412
01/11/2024;66,31
31/10/2024;66,8477
30/10/2024;66,9059
29/10/2024;65,103
28/10/2024;66,7937
25/10/2024;66,3673
24/10/2024;66,1888
23/10/2024;66,329
22/10/2024;66,756
21/10/2024;66,5728
18/10/2024;67,2234
